id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
28:111,What to say before sleeping,sleep-waking,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
29:112,Invocation to say if you stir in the night,sleep-waking,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
3:6,Invocation when putting on new clothes,home-clothing,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
30:113,What to say if you are afraid to go to sleep or feel lonely and depressed,sleep-waking,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
32:116,Invocations for Qunut in the Witr prayer,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
32:117,Invocations for Qunut in the Witr prayer,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
32:118,Invocations for Qunut in the Witr prayer,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
34:120,Invocations in times of worry and grief,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
34:121,Invocations in times of worry and grief,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
35:122,Invocations for anguish,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
35:123,Invocations for anguish,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
35:124,Invocations for anguish,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
36:126,Invocations for when you meet an adversary or a powerful ruler.,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
36:127,Invocations for when you meet an adversary or a powerful ruler.,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
36:128,Invocations for when you meet an adversary or a powerful ruler.,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
37:129,Invocations against the oppression of rulers,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
37:130,Invocations against the oppression of rulers,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
38:131,Invocation against an enemy,protection,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
39:132,What to say if you fear people may harm you,protection,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
4:7,Invocations for someone who has put on new clothes,home-clothing,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
4:8,Invocations for someone who has put on new clothes,home-clothing,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
41:136,Invocations for the setting of a debt,distress,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
41:137,Invocations for the setting of a debt,distress,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
43:139,Invocation for when you find something becoming difficult for you,distress,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
46:144,"Invocation for when something you dislike happens, or for when you fail to achieve what you attempt to do",protection,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
49:147,Invocations for visiting the sick,funeral-illness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
